nombre;central;tecnologia_etiqueta;nombre_agente;tecnologia;tecnologia_maquinas;potencia_instalada_mw;provincia;departamento;aglomeracion;sistema;pah;id_renovar;resolucion_renovables;fuente;geojson;Logitud;Latitud
P.EOLICO PAMPA ENERGIA;PEP3EO;Eólica;P.EOLICO PAMPA ENERGIA;EOL;EOLICA;;BUENOS AIRES;Coronel de Marina Leonardo Rosales;;Interconectado MEM;;MAT-EOL-15;;CAMMESA;"{""type"":""Point"",""coordinates"":[-61.7643685749989,-38.7668783894563]}";-617.643.685.749.989;-387.668.783.894.563
BIOGAS CTBG BIO-EITTOR ENERGY;EITO;Biogas;BIOGAS CTBG BIO-EITTOR ENERGY;BIOG;BIOGAS;;BUENOS AIRES;Zárate;;Interconectado MEM;;BG-3503;;CAMMESA;"{""type"":""Point"",""coordinates"":[-59.0747595493643,-34.0734647397055]}";-590.747.595.493.643;-340.734.647.397.055
PQUE SOLAR CURA BROCHERO MATER;BROCFV;Fotovoltaica;PQUE SOLAR CURA BROCHERO MATER;SOL;FOTOVOLTAICA;;CORDOBA;San Alberto;;Interconectado MEM;;MAT-SFV-10;;CAMMESA;"{""type"":""Point"",""coordinates"":[-65.0384486209955,-31.7214710522026]}";-650.384.486.209.955;-317.214.710.522.026
PQUE SOLAR CURA BROCHERO REN2;BRO2FV;Fotovoltaica;P.SOLAR CURA BROCHERO AMPL SAU;SOL;FOTOVOLTAICA;;CORDOBA;San Alberto;;Interconectado MEM;;SFV-301;;CAMMESA;"{""type"":""Point"",""coordinates"":[-65.0356629178626,-31.7229908978638]}";-650.356.629.178.626;-317.229.908.978.638
CT SALTA - ENARSA;SLTA;Térmica;CT SALTA - ENARSA;DI;MOTOR DIESEL;;SALTA;;;Móvil;;;;DIE;;0;
360 ENERGY FV;HON4FV;Fotovoltaica;360 ENERGY FV;SOL;FOTOVOLTAICA;;SAN JUAN;Sarmiento;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-68.5406327916374,-31.9905549806304]}";-685.406.327.916.374;-319.905.549.806.304
PQUE SOLAR ZONDA;ZONDFV;Fotovoltaica;PQUE SOLAR ZONDA;SOL;FOTOVOLTAICA;;SAN JUAN;Iglesia;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-69.2349641387804,-30.4461916619621]}";-692.349.641.387.804;-304.461.916.619.621
CTBRS SAN MARTÍN NORTE 3-D I;S3D1;Biogas;CTBRS SAN MARTÍN NORTE 3-D I;BIOG;BIOGAS;;BUENOS AIRES;San Miguel;GRAN BUENOS AIRES;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-58.622861,-34.521541]}";-58.622.861;-34.521.541
GENERACION MEDITERRANEA AUTOGE;MMAG;Térmica;GENERACION MEDITERRANEA AUTOGE;TG;TURBO GAS;;CORDOBA;Río Cuarto;RIO CUARTO;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-64.3653278420791,-33.1600888514712]}";-643.653.278.420.791;-331.600.888.514.712
P.EOLICO MATACO 3 PICOS MATER;MAT3EO;Eólica;P.EOLICO 3 PICOS MATER;EOL;EOLICA;;BUENOS AIRES;Tornquist;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-62.2831182745276,-38.3186864048666]}";-622.831.182.745.276;-383.186.864.048.666
CTBRS SAN MARTÍN NORTE 3GC;S3GC;Biogas;CTBRS SAN MARTÍN NORTE 3GC;BIOG;BIOGAS;;BUENOS AIRES;San Miguel;GRAN BUENOS AIRES;Interconectado MEM;;120;RenMDI - 2023;DIE;"{""type"":""Point"",""coordinates"":[-58.6271286386811,-34.5209678571669]}";-586.271.286.386.811;-345.209.678.571.669
AG CEMENTOS AVELLANEDA S. Luis;CALEFV;Fotovoltaica;AG CEMENTOS AVELLANEDA S. Luis;SOL;FOTOVOLTAICA;;SAN LUIS;Belgrano;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-66.8541083696534,-32.8443305725936]}";-668.541.083.696.534;-328.443.305.725.936
P.EOLICO PAMPA ENERGIA;PE32EO;Eólica;P.EOLICO PAMPA ENERGIA;EOL;EOLICA;;BUENOS AIRES;Coronel de Marina Leonardo Rosales;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-61.7614583118308,-38.7658186500088]}";-617.614.583.118.308;-387.658.186.500.088
P.EOLICO ARAUCO II R1.5 ET3y4;AR22EO;Eólica;P.EOLICO ARAUCO II R1.5 ET3y4;EOL;EOLICA;;LA RIOJA;Arauco;;Interconectado MEM;;EOL-1047;;DIE;"{""type"":""Point"",""coordinates"":[-66.7292576386509,-28.7478294415404]}";-667.292.576.386.509;-287.478.294.415.404
P.EOLICO DE LA BUENA VENTURA;BVENEO;Eólica;P.EOLICO DE LA BUENA VENTURA;EOL;EOLICA;;BUENOS AIRES;Adolfo Gonzales Chaves;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-60.1361636159788,-38.0869048319536]}";-601.361.636.159.788;-380.869.048.319.536
P.EOLICO 3 PICOS MATER;VIVOEO;Eólica;P.EOLICO 3 PICOS MATER;EOL;EOLICA;;BUENOS AIRES;Mar Chiquita;;Interconectado MEM;;177;;DIE;"{""type"":""Point"",""coordinates"":[-57.7267947362451,-37.694343152187]}";-577.267.947.362.451;-37.694.343.152.187
P.EOLICO SAN LUIS NORTE;SLUNEO;Eólica;P.EOLICO SAN LUIS NORTE;EOL;EOLICA;;SAN LUIS;Belgrano;;Interconectado MEM;;81;;CRPEE;"{""type"":""Point"",""coordinates"":[-66.3522286141671,-32.7743956171487]}";-663.522.286.141.671;-327.743.956.171.487
BIOGAS CTBG GORINA ENERGIA;GORI;Biogas;BIOGAS CTBG GORINA ENERGIA;BIOG;BIOGAS;;BUENOS AIRES;La Plata;GRAN BUENOS AIRES;Interconectado MEM;;BG-3510;RENOVAR RONDA 3;DIE;"{""type"":""Point"",""coordinates"":[-58.0476746277023,-34.9225826113656]}";-580.476.746.277.023;-349.225.826.113.656
BIOGAS CTBG. ADECOAGRO ENERGÍA;ADEC;Biogas;BIOGAS CTBG. ADECOAGRO ENERGÍA;BIOG;BIOGAS;;SANTA FE;General López;;Interconectado MEM;;BG-3504;;DIE;"{""type"":""Point"",""coordinates"":[-62.0472905288459,-34.2366228020004]}";-620.472.905.288.459;-342.366.228.020.004
GENNEIA S.A.EOLICOS;TOC3FV;Fotovoltaica;GENNEIA S.A.EOLICOS;SOL;FOTOVOLTAICA;;SAN JUAN;Calingasta;;Interconectado MEM;;1;;DIE;"{""type"":""Point"",""coordinates"":[-69.4650261862729,-30.8318959157219]}";-694.650.261.862.729;-308.318.959.157.219
PQUE SOLAR E. Ren. Las Lomas;LOMAFV;Fotovoltaica;PQUE SOLAR E. Ren. Las Lomas;SOL;FOTOVOLTAICA;;LA RIOJA;Chilecito;;Interconectado MEM;;34;;DIE;"{""type"":""Point"",""coordinates"":[-67.415031491,-29.604599821]}";-67.415.031.491;-29.604.599.821
360 ENERGY FV;LRI3FV;Fotovoltaica;360 ENERGY FV;SOL;FOTOVOLTAICA;;LA RIOJA;Chilecito;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-67.4256517609007,-29.3275714474753]}";-674.256.517.609.007;-293.275.714.474.753
BIOGAS CT BIOANGLO;BANG;Biogas;BIOGAS CT BIOANGLO;BIOG;BIOGAS;;CORDOBA;Río Seco;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-63.4920807571303,-29.8553814175606]}";-634.920.807.571.303;-298.553.814.175.606
PARQUE SOLAR ALGARROBO SOLARGE;ALGRFV;Fotovoltaica;PARQUE SOLAR ALGARROBO SOLARGE;SOL;FOTOVOLTAICA;;SAN JUAN;Caucete;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-68.18557319,-31.70229284]}";-6.818.557.319;-3.170.229.284
PQUE SOLAR VICTORICA;VICTFV;Fotovoltaica;PQUE SOLAR VICTORICA;SOL;FOTOVOLTAICA;;LA PAMPA;Loventué;VICTORICA;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-65.4310483981794,-36.2296479962609]}";-654.310.483.981.794;-362.296.479.962.609
360 ENERGY FV;LRI2FV;Fotovoltaica;360 ENERGY FV;SOL;FOTOVOLTAICA;;LA RIOJA;Chilecito;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-67.4255337438147,-29.3275901544931]}";-674.255.337.438.147;-293.275.901.544.931
